5492321472981993449 Qua Fev  7 09:57:19 -02 2018
12248117985829486578 Qua Fev  7 10:02:31 -02 2018
6567371592610880269 Qua Fev  7 10:03:52 -02 2018
10416812671492724535 Qua Fev  7 10:09:29 -02 2018
4652932033650992733 Qua Fev  7 10:14:43 -02 2018
9053663363471931312 Qua Fev  7 10:16:09 -02 2018
11340950324400640528 Qua Fev  7 10:17:33 -02 2018
2752547375789190527 Qua Fev  7 10:22:46 -02 2018
10906773989510573306 Qua Fev  7 10:27:59 -02 2018
8796671663844206289 Qua Fev  7 10:29:22 -02 2018
16070137239254836212 Qua Fev  7 10:30:48 -02 2018
14062325625217616257 Qua Fev  7 10:36:23 -02 2018
8769171197673896629 Qua Fev  7 10:42:00 -02 2018
6644955225438185279 Qua Fev  7 10:47:32 -02 2018
11210325699133573381 Qua Fev  7 10:48:55 -02 2018
12545958143146268392 Qua Fev  7 10:54:07 -02 2018
3118649804581646594 Qua Fev  7 10:55:33 -02 2018
921544197035885622 Qua Fev  7 10:56:55 -02 2018
16372721131719289303 Qua Fev  7 10:58:20 -02 2018
11179885352194058263 Qua Fev  7 11:03:50 -02 2018
