 --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,-Xptxas --maxrregcount=, --prec-sqrt=, --no-align-double,response,complete,id
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,30.862232078,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,30.800188233,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,30.841815081,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,30.89888827,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,31.270646076,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,31.259503042,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,31.297615746,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,31.305252271,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,31.27345916,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,31.281077582,true,5492321472981993449
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.062934181,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.043701904,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.045135813,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.04987948,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.05254147,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.046678757,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.050350296,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.043664299,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.046723264,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.04674087,true,12248117985829486578
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.615239905,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.598029262,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.638448486,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.596026471,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.591571334,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.599698649,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.587501991,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.607047717,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.619617036,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.619063186,true,6567371592610880269
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.306679626,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.288596755,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.301854895,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.279738222,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.27853071,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.288654595,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.256388643,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.287270621,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.267397436,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.280746982,true,10416812671492724535
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.494612504,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.473824586,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.499941364,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.529536077,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.480696861,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.523819048,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.483826712,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.517750021,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.521840043,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.505039479,true,4652932033650992733
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.358067162,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.344187202,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.339497809,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.334085354,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.348988556,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.343261258,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.345717911,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.339885503,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.335604819,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.340921455,true,9053663363471931312
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.152061581,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.150966982,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.153729693,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.148977248,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.162656291,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.146730354,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.147495963,true,11340950324400640528
