dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
1,on,2,sm_30,true,cg,lu,false,false,3,-1,on,true,false,-1,63,1,false,on,8.479677103,true,2317357176957608617
1,on,2,sm_30,true,cg,lu,false,false,3,-1,on,true,false,-1,63,1,false,on,8.322230229,true,2317357176957608617
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.043089625,true,10144606589520683771
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.038380187,true,10144606589520683771
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,8.043116005,true,16844645761357879638
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,8.03749333,true,16844645761357879638
-1,on,3,sm_52,true,cg,lu,false,false,0,-1,off,false,true,1,16,1,true,on,8.491120857,true,7356577936315718371
-1,on,3,sm_52,true,cg,lu,false,false,0,-1,off,false,true,1,16,1,true,on,8.464282042,true,7356577936315718371
1,on,2,sm_30,true,cs,ca,true,true,0,-1,off,false,false,1,16,1,false,off,8.279491835,true,1914786827398988833
1,on,2,sm_30,true,cs,ca,true,true,0,-1,off,false,false,1,16,1,false,off,8.214846081,true,1914786827398988833
-1,off,3,sm_30,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,8.066620557,true,2744784039069361686
-1,off,3,sm_30,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,8.051827868,true,2744784039069361686
1,off,3,sm_30,true,cs,lu,false,true,0,-1,on,false,true,-1,63,-1,true,off,8.459579897,true,9065119990772745104
1,off,3,sm_30,true,cs,lu,false,true,0,-1,on,false,true,-1,63,-1,true,off,8.456725778,true,9065119990772745104
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,63,1,false,off,8.313697102,true,4034717897715990342
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,63,1,false,off,8.305226673,true,4034717897715990342
1,off,2,sm_30,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,8.130693276,true,10467037043907315505
1,off,2,sm_30,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,8.063859764,true,10467037043907315505
-1,off,2,sm_52,true,cg,ca,false,true,0,1,off,true,false,-1,63,1,true,off,8.20077687,true,8191115304262385030
-1,off,2,sm_52,true,cg,ca,false,true,0,1,off,true,false,-1,63,1,true,off,8.199782471,true,8191115304262385030
-1,on,3,sm_30,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,8.339897374,true,10704477250102707331
-1,on,3,sm_30,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,8.343456937,true,10704477250102707331
1,off,2,sm_52,true,cs,lu,true,true,3,1,on,true,true,1,16,1,true,on,8.338695679,true,7307369237444727502
1,off,2,sm_52,true,cs,lu,true,true,3,1,on,true,true,1,16,1,true,on,8.334339217,true,7307369237444727502
-1,on,2,sm_52,false,cg,lu,true,true,3,-1,on,false,false,1,63,-1,true,off,8.332803622,true,13034243342634655858
-1,on,2,sm_52,false,cg,lu,true,true,3,-1,on,false,false,1,63,-1,true,off,8.326665175,true,13034243342634655858
1,off,3,sm_52,false,cg,lu,true,true,0,-1,off,true,false,-1,16,-1,false,on,8.512861393,true,1433960792271953814
1,off,3,sm_52,false,cg,lu,true,true,0,-1,off,true,false,-1,16,-1,false,on,8.496885605,true,1433960792271953814
1,on,3,sm_52,true,cg,ca,true,false,0,1,on,true,true,1,63,-1,false,off,8.231068105,true,17305463625291136743
1,on,3,sm_52,true,cg,ca,true,false,0,1,on,true,true,1,63,-1,false,off,8.239852384,true,17305463625291136743
-1,off,3,sm_30,false,cs,ca,true,false,0,-1,on,true,false,1,63,1,true,on,8.224242281,true,3263340291574720614
-1,off,3,sm_30,false,cs,ca,true,false,0,-1,on,true,false,1,63,1,true,on,8.212157039,true,3263340291574720614
1,on,3,sm_30,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,8.071180707,true,14464772313603975121
1,on,3,sm_30,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,8.061199138,true,14464772313603975121
-1,on,2,sm_30,false,cs,lu,false,true,0,1,off,true,true,1,63,-1,false,on,8.603110963,true,16092463556146089333
-1,on,2,sm_30,false,cs,lu,false,true,0,1,off,true,true,1,63,-1,false,on,8.513368306,true,16092463556146089333
-1,off,2,sm_30,false,cg,lu,true,false,0,1,on,false,true,-1,16,1,false,off,8.536520912,true,14880562048228750904
-1,off,2,sm_30,false,cg,lu,true,false,0,1,on,false,true,-1,16,1,false,off,8.473706037,true,14880562048228750904
1,on,2,sm_52,false,cs,ca,false,false,0,1,on,false,false,-1,16,-1,true,on,8.204905364,true,6390715056701635381
1,on,2,sm_52,false,cs,ca,false,false,0,1,on,false,false,-1,16,-1,true,on,8.211192909,true,6390715056701635381
