2317357176957608617 Qui Fev  8 10:19:37 -02 2018
10144606589520683771 Qui Fev  8 10:20:04 -02 2018
16844645761357879638 Qui Fev  8 10:20:30 -02 2018
6255397430791123543 Qui Fev  8 10:20:55 -02 2018
6597012147592188068 Qui Fev  8 10:21:21 -02 2018
4480615701543711457 Qui Fev  8 10:21:46 -02 2018
2744784039069361686 Qui Fev  8 10:22:11 -02 2018
1262471024641038660 Qui Fev  8 10:22:37 -02 2018
4034717897715990342 Qui Fev  8 10:23:02 -02 2018
3272551603729099740 Qui Fev  8 10:23:28 -02 2018
10467037043907315505 Qui Fev  8 10:23:53 -02 2018
16177723886144975218 Qui Fev  8 10:24:19 -02 2018
8471544409943531941 Qui Fev  8 10:24:45 -02 2018
7536135936774299431 Qui Fev  8 10:25:10 -02 2018
10704477250102707331 Qui Fev  8 10:25:36 -02 2018
7307369237444727502 Qui Fev  8 10:26:02 -02 2018
13034243342634655858 Qui Fev  8 10:26:28 -02 2018
7671307668196806206 Qui Fev  8 10:26:54 -02 2018
14464772313603975121 Qui Fev  8 10:27:21 -02 2018
9334374271926009638 Qui Fev  8 10:27:46 -02 2018
