dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.087947184,true,10144606589520683771
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.040173791,true,10144606589520683771
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.042671511,true,10144606589520683771
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,8.046098115,true,16844645761357879638
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,8.037734755,true,16844645761357879638
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,8.036726188,true,16844645761357879638
1,off,3,sm_52,false,cg,cg,true,true,2,-1,off,true,false,-1,16,-1,false,on,8.33091643,true,1643453506739748464
1,off,3,sm_52,false,cg,cg,true,true,2,-1,off,true,false,-1,16,-1,false,on,8.324701723,true,1643453506739748464
1,off,3,sm_52,false,cg,cg,true,true,2,-1,off,true,false,-1,16,-1,false,on,8.32739353,true,1643453506739748464
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,8.055623094,true,4480615701543711457
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,8.057785927,true,4480615701543711457
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,8.058518949,true,4480615701543711457
-1,on,3,sm_20,true,cs,cg,true,false,3,1,off,true,false,-1,16,-1,true,off,8.417227261,true,3180104934000363099
-1,on,3,sm_20,true,cs,cg,true,false,3,1,off,true,false,-1,16,-1,true,off,8.346050688,true,3180104934000363099
-1,on,3,sm_20,true,cs,cg,true,false,3,1,off,true,false,-1,16,-1,true,off,8.343853676,true,3180104934000363099
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,8.065928635,true,1262471024641038660
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,8.058793906,true,1262471024641038660
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,8.056570545,true,1262471024641038660
1,off,3,sm_20,true,cs,cg,false,true,2,-1,on,false,true,-1,63,-1,true,off,8.423600164,true,7834697392192287997
1,off,3,sm_20,true,cs,cg,false,true,2,-1,on,false,true,-1,63,-1,true,off,8.353634628,true,7834697392192287997
1,off,3,sm_20,true,cs,cg,false,true,2,-1,on,false,true,-1,63,-1,true,off,8.358887808,true,7834697392192287997
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,8.047274668,true,3272551603729099740
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,8.050617319,true,3272551603729099740
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,8.059487331,true,3272551603729099740
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,8.066072243,true,11998574794769635484
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,8.059962279,true,11998574794769635484
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,8.067589556,true,11998574794769635484
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,8.135059974,true,5748659537799952519
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,8.065721301,true,5748659537799952519
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,8.061323442,true,5748659537799952519
-1,off,2,sm_20,false,cg,cg,true,false,2,1,on,false,true,-1,16,1,false,off,8.418882223,true,4915531756569767803
-1,off,2,sm_20,false,cg,cg,true,false,2,1,on,false,true,-1,16,1,false,off,8.362511766,true,4915531756569767803
-1,off,2,sm_20,false,cg,cg,true,false,2,1,on,false,true,-1,16,1,false,off,8.360831621,true,4915531756569767803
-1,on,2,sm_20,false,cs,cg,false,true,2,1,off,true,true,1,63,-1,false,on,8.409359628,true,6360988710786035579
-1,on,2,sm_20,false,cs,cg,false,true,2,1,off,true,true,1,63,-1,false,on,8.359054811,true,6360988710786035579
-1,on,2,sm_20,false,cs,cg,false,true,2,1,off,true,true,1,63,-1,false,on,8.355690471,true,6360988710786035579
1,on,2,sm_20,true,cs,ca,true,true,2,-1,off,false,false,1,16,1,false,off,8.076753838,true,16482218504994401748
1,on,2,sm_20,true,cs,ca,true,true,2,-1,off,false,false,1,16,1,false,off,8.072108644,true,16482218504994401748
1,on,2,sm_20,true,cs,ca,true,true,2,-1,off,false,false,1,16,1,false,off,8.064793155,true,16482218504994401748
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,8.144195868,true,15074698308700351608
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,8.074933553,true,15074698308700351608
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,8.074831112,true,15074698308700351608
1,off,2,sm_52,true,cs,cg,true,true,3,1,on,true,true,1,16,1,true,on,8.349266357,true,7929401589367327984
1,off,2,sm_52,true,cs,cg,true,true,3,1,on,true,true,1,16,1,true,on,8.335645703,true,7929401589367327984
1,off,2,sm_52,true,cs,cg,true,true,3,1,on,true,true,1,16,1,true,on,8.340182303,true,7929401589367327984
-1,on,3,sm_52,true,cg,cg,false,false,2,-1,off,false,true,1,16,1,true,on,8.353679677,true,5459033650646189885
-1,on,3,sm_52,true,cg,cg,false,false,2,-1,off,false,true,1,16,1,true,on,8.345372746,true,5459033650646189885
-1,on,3,sm_52,true,cg,cg,false,false,2,-1,off,false,true,1,16,1,true,on,8.346786351,true,5459033650646189885
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,8.086047717,true,18183250591116101860
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,8.077723704,true,18183250591116101860
