10144606589520683771 Qui Fev  8 11:46:06 -02 2018
16844645761357879638 Qui Fev  8 11:46:33 -02 2018
1643453506739748464 Qui Fev  8 11:46:58 -02 2018
4480615701543711457 Qui Fev  8 11:47:24 -02 2018
3180104934000363099 Qui Fev  8 11:47:49 -02 2018
1262471024641038660 Qui Fev  8 11:48:16 -02 2018
7834697392192287997 Qui Fev  8 11:48:41 -02 2018
3272551603729099740 Qui Fev  8 11:49:07 -02 2018
11998574794769635484 Qui Fev  8 11:49:32 -02 2018
5748659537799952519 Qui Fev  8 11:49:58 -02 2018
4915531756569767803 Qui Fev  8 11:50:23 -02 2018
6360988710786035579 Qui Fev  8 11:50:49 -02 2018
16482218504994401748 Qui Fev  8 11:51:15 -02 2018
15074698308700351608 Qui Fev  8 11:51:41 -02 2018
7929401589367327984 Qui Fev  8 11:52:06 -02 2018
5459033650646189885 Qui Fev  8 11:52:32 -02 2018
18183250591116101860 Qui Fev  8 11:52:58 -02 2018
4601229898150430296 Qui Fev  8 11:53:23 -02 2018
2832385055763169752 Qui Fev  8 11:53:50 -02 2018
17434697871689686891 Qui Fev  8 11:54:16 -02 2018
