10144606589520683771 Qui Fev  8 13:03:35 -02 2018
16844645761357879638 Qui Fev  8 13:04:02 -02 2018
13895489266417811771 Qui Fev  8 13:04:27 -02 2018
8641678435581639440 Qui Fev  8 13:04:53 -02 2018
4480615701543711457 Qui Fev  8 13:05:19 -02 2018
3567182009512823686 Qui Fev  8 13:05:44 -02 2018
5595028968165087303 Qui Fev  8 13:06:10 -02 2018
598739891651552836 Qui Fev  8 13:06:36 -02 2018
12709471302387901138 Qui Fev  8 13:07:02 -02 2018
1262471024641038660 Qui Fev  8 13:07:29 -02 2018
9214363139142105575 Qui Fev  8 13:07:54 -02 2018
2795277536003732626 Qui Fev  8 13:08:20 -02 2018
3272551603729099740 Qui Fev  8 13:08:46 -02 2018
7710631841119953927 Qui Fev  8 13:09:11 -02 2018
11998574794769635484 Qui Fev  8 13:09:38 -02 2018
5748659537799952519 Qui Fev  8 13:10:03 -02 2018
16482218504994401748 Qui Fev  8 13:10:28 -02 2018
15074698308700351608 Qui Fev  8 13:10:53 -02 2018
18183250591116101860 Qui Fev  8 13:11:19 -02 2018
14950813935208838719 Qui Fev  8 13:11:44 -02 2018
