dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
1,off,3,sm_52,false,cs,cv,false,false,3,1,off,false,false,1,63,1,false,off,-1.0,false,552207897618591722
-1,on,3,sm_20,true,cs,cv,true,false,3,1,off,true,false,-1,16,-1,true,off,-1.0,false,5980071980388862357
-1,on,3,sm_52,true,cg,cv,false,false,2,-1,off,false,true,1,16,1,true,on,-1.0,false,705088098634528544
1,on,2,sm_20,true,cg,cv,false,false,3,-1,on,true,false,-1,63,1,false,on,-1.0,false,15884261543066032483
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,-1.0,false,3272551603729099740
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,-1.0,false,11998574794769635484
-1,on,2,sm_52,false,cg,cv,true,true,3,-1,on,false,false,1,63,-1,true,off,-1.0,false,14662833239432089636
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,-1.0,false,16844645761357879638
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,-1.0,false,10144606589520683771
1,off,3,sm_52,false,cg,cv,true,true,2,-1,off,true,false,-1,16,-1,false,on,-1.0,false,1707786474314025849
-1,off,2,sm_20,false,cg,cv,true,false,2,1,on,false,true,-1,16,1,false,off,-1.0,false,16912220973040650893
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,-1.0,false,18183250591116101860
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,-1.0,false,4480615701543711457
1,on,2,sm_20,true,cs,ca,true,true,2,-1,off,false,false,1,16,1,false,off,-1.0,false,16482218504994401748
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,-1.0,false,5748659537799952519
1,off,2,sm_52,true,cs,cv,true,true,3,1,on,true,true,1,16,1,true,on,-1.0,false,14205104225835251059
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,-1.0,false,1262471024641038660
-1,on,2,sm_20,false,cs,cv,false,true,2,1,off,true,true,1,63,-1,false,on,-1.0,false,14517699964545281245
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,-1.0,false,15074698308700351608
1,off,3,sm_20,true,cs,cv,false,true,2,-1,on,false,true,-1,63,-1,true,off,-1.0,false,11980389092137210287
