10144606589520683771 Qui Fev  8 12:00:04 -02 2018
16844645761357879638 Qui Fev  8 12:00:31 -02 2018
11980389092137210287 Qui Fev  8 12:00:56 -02 2018
5980071980388862357 Qui Fev  8 12:01:25 -02 2018
4480615701543711457 Qui Fev  8 12:01:54 -02 2018
14662833239432089636 Qui Fev  8 12:02:19 -02 2018
1262471024641038660 Qui Fev  8 12:02:50 -02 2018
1707786474314025849 Qui Fev  8 12:03:15 -02 2018
14517699964545281245 Qui Fev  8 12:03:46 -02 2018
3272551603729099740 Qui Fev  8 12:04:16 -02 2018
11998574794769635484 Qui Fev  8 12:04:41 -02 2018
16912220973040650893 Qui Fev  8 12:05:06 -02 2018
705088098634528544 Qui Fev  8 12:05:37 -02 2018
5748659537799952519 Qui Fev  8 12:06:08 -02 2018
15884261543066032483 Qui Fev  8 12:06:34 -02 2018
14205104225835251059 Qui Fev  8 12:07:05 -02 2018
16482218504994401748 Qui Fev  8 12:07:34 -02 2018
15074698308700351608 Qui Fev  8 12:07:59 -02 2018
18183250591116101860 Qui Fev  8 12:08:24 -02 2018
552207897618591722 Qui Fev  8 12:08:50 -02 2018
