6255397430791123543 Qui Fev  8 11:17:01 -02 2018
10144606589520683771 Qui Fev  8 11:17:28 -02 2018
6597012147592188068 Qui Fev  8 11:17:54 -02 2018
10084247039407654295 Qui Fev  8 11:18:19 -02 2018
2987274167190024429 Qui Fev  8 11:18:45 -02 2018
12688105552159786936 Qui Fev  8 11:19:10 -02 2018
2744784039069361686 Qui Fev  8 11:19:36 -02 2018
7684078232001755512 Qui Fev  8 11:20:02 -02 2018
11598339939092424737 Qui Fev  8 11:20:27 -02 2018
3272551603729099740 Qui Fev  8 11:20:53 -02 2018
10467037043907315505 Qui Fev  8 11:21:18 -02 2018
15306514631058979899 Qui Fev  8 11:21:44 -02 2018
16177723886144975218 Qui Fev  8 11:22:10 -02 2018
10704477250102707331 Qui Fev  8 11:22:36 -02 2018
5404156146414093496 Qui Fev  8 11:23:02 -02 2018
7307369237444727502 Qui Fev  8 11:23:27 -02 2018
888715273638560747 Qui Fev  8 11:23:53 -02 2018
6382560153615016631 Qui Fev  8 11:24:19 -02 2018
9334374271926009638 Qui Fev  8 11:24:45 -02 2018
2078392116812283994 Qui Fev  8 11:25:11 -02 2018
