dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,16,-1,false,on,8.381942712,true,6255397430791123543
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,16,-1,false,on,8.325377397,true,6255397430791123543
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,16,-1,false,on,8.319874158,true,6255397430791123543
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.049736517,true,10144606589520683771
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.03743434,true,10144606589520683771
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.049486944,true,10144606589520683771
1,on,2,sm_30,true,cs,ca,true,true,2,-1,off,false,false,1,16,1,false,off,8.072529207,true,6597012147592188068
1,on,2,sm_30,true,cs,ca,true,true,2,-1,off,false,false,1,16,1,false,off,8.063643353,true,6597012147592188068
1,on,2,sm_30,true,cs,ca,true,true,2,-1,off,false,false,1,16,1,false,off,8.063544715,true,6597012147592188068
1,off,3,sm_30,true,cs,lu,false,true,2,-1,on,false,true,-1,39,-1,true,off,8.394701381,true,10084247039407654295
1,off,3,sm_30,true,cs,lu,false,true,2,-1,on,false,true,-1,39,-1,true,off,8.33669334,true,10084247039407654295
1,off,3,sm_30,true,cs,lu,false,true,2,-1,on,false,true,-1,39,-1,true,off,8.329921912,true,10084247039407654295
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,39,1,true,off,8.055975309,true,2987274167190024429
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,39,1,true,off,8.044499817,true,2987274167190024429
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,39,1,true,off,8.047249412,true,2987274167190024429
1,on,2,sm_30,true,cg,lu,false,false,3,-1,on,true,false,-1,39,1,false,on,8.384181782,true,12688105552159786936
1,on,2,sm_30,true,cg,lu,false,false,3,-1,on,true,false,-1,39,1,false,on,8.320425414,true,12688105552159786936
1,on,2,sm_30,true,cg,lu,false,false,3,-1,on,true,false,-1,39,1,false,on,8.340440964,true,12688105552159786936
-1,off,3,sm_30,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,8.064121768,true,2744784039069361686
-1,off,3,sm_30,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,8.050213572,true,2744784039069361686
-1,off,3,sm_30,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,8.06135927,true,2744784039069361686
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,39,-1,false,off,8.063745137,true,7684078232001755512
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,39,-1,false,off,8.071266238,true,7684078232001755512
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,39,-1,false,off,8.067524891,true,7684078232001755512
-1,on,2,sm_30,false,cs,lu,false,true,2,1,off,true,true,1,39,-1,false,on,8.436983299,true,11598339939092424737
-1,on,2,sm_30,false,cs,lu,false,true,2,1,off,true,true,1,39,-1,false,on,8.35568131,true,11598339939092424737
-1,on,2,sm_30,false,cs,lu,false,true,2,1,off,true,true,1,39,-1,false,on,8.350154557,true,11598339939092424737
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,8.057871747,true,3272551603729099740
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,8.043555807,true,3272551603729099740
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,8.05194467,true,3272551603729099740
1,off,2,sm_30,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,8.077728076,true,10467037043907315505
1,off,2,sm_30,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,8.077581001,true,10467037043907315505
1,off,2,sm_30,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,8.071163973,true,10467037043907315505
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,39,1,false,off,8.33920122,true,15306514631058979899
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,39,1,false,off,8.333069703,true,15306514631058979899
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,39,1,false,off,8.333988398,true,15306514631058979899
-1,on,3,sm_52,true,cg,lu,false,false,2,-1,off,false,true,1,16,1,true,on,8.357115689,true,16177723886144975218
-1,on,3,sm_52,true,cg,lu,false,false,2,-1,off,false,true,1,16,1,true,on,8.337797468,true,16177723886144975218
-1,on,3,sm_52,true,cg,lu,false,false,2,-1,off,false,true,1,16,1,true,on,8.348855638,true,16177723886144975218
-1,on,3,sm_30,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,8.346956892,true,10704477250102707331
-1,on,3,sm_30,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,8.34476236,true,10704477250102707331
-1,on,3,sm_30,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,8.34337742,true,10704477250102707331
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,39,-1,false,on,8.050040509,true,5404156146414093496
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,39,-1,false,on,8.045334076,true,5404156146414093496
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,39,-1,false,on,8.036807493,true,5404156146414093496
1,off,2,sm_52,true,cs,lu,true,true,3,1,on,true,true,1,16,1,true,on,8.347202745,true,7307369237444727502
1,off,2,sm_52,true,cs,lu,true,true,3,1,on,true,true,1,16,1,true,on,8.334385219,true,7307369237444727502
1,off,2,sm_52,true,cs,lu,true,true,3,1,on,true,true,1,16,1,true,on,8.338548142,true,7307369237444727502
-1,off,3,sm_30,false,cs,ca,true,false,2,-1,on,true,false,1,39,1,true,on,8.142294037,true,888715273638560747
