6255397430791123543 Qui Fev  8 11:31:33 -02 2018
10144606589520683771 Qui Fev  8 11:32:00 -02 2018
965654748042724845 Qui Fev  8 11:32:26 -02 2018
2987274167190024429 Qui Fev  8 11:32:52 -02 2018
4985253171053371499 Qui Fev  8 11:33:17 -02 2018
7684078232001755512 Qui Fev  8 11:33:43 -02 2018
11779894184283981727 Qui Fev  8 11:34:08 -02 2018
3272551603729099740 Qui Fev  8 11:34:35 -02 2018
15306514631058979899 Qui Fev  8 11:35:00 -02 2018
16177723886144975218 Qui Fev  8 11:35:26 -02 2018
11998574794769635484 Qui Fev  8 11:35:52 -02 2018
14541368015271604201 Qui Fev  8 11:36:17 -02 2018
5404156146414093496 Qui Fev  8 11:36:43 -02 2018
7307369237444727502 Qui Fev  8 11:37:08 -02 2018
16482218504994401748 Qui Fev  8 11:37:34 -02 2018
5278242823476079050 Qui Fev  8 11:37:59 -02 2018
6463658171104150631 Qui Fev  8 11:38:25 -02 2018
18183250591116101860 Qui Fev  8 11:38:51 -02 2018
6382560153615016631 Qui Fev  8 11:39:16 -02 2018
17265096275196388546 Qui Fev  8 11:39:42 -02 2018
