dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,16,-1,false,on,8.379517161,true,6255397430791123543
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,16,-1,false,on,8.326886722,true,6255397430791123543
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,16,-1,false,on,8.326389551,true,6255397430791123543
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.042602376,true,10144606589520683771
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.049702481,true,10144606589520683771
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,8.045075693,true,10144606589520683771
-1,off,2,sm_20,false,cg,lu,true,false,2,1,on,false,true,-1,16,1,false,off,8.401262446,true,965654748042724845
-1,off,2,sm_20,false,cg,lu,true,false,2,1,on,false,true,-1,16,1,false,off,8.334873791,true,965654748042724845
-1,off,2,sm_20,false,cg,lu,true,false,2,1,on,false,true,-1,16,1,false,off,8.334194751,true,965654748042724845
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,39,1,true,off,8.050653479,true,2987274167190024429
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,39,1,true,off,8.05904424,true,2987274167190024429
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,39,1,true,off,8.053047592,true,2987274167190024429
-1,on,3,sm_20,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,8.390236262,true,4985253171053371499
-1,on,3,sm_20,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,8.350127149,true,4985253171053371499
-1,on,3,sm_20,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,8.346814482,true,4985253171053371499
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,39,-1,false,off,8.067232197,true,7684078232001755512
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,39,-1,false,off,8.062572649,true,7684078232001755512
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,39,-1,false,off,8.053327844,true,7684078232001755512
1,on,2,sm_20,true,cg,lu,false,false,3,-1,on,true,false,-1,39,1,false,on,8.413445731,true,11779894184283981727
1,on,2,sm_20,true,cg,lu,false,false,3,-1,on,true,false,-1,39,1,false,on,8.341717953,true,11779894184283981727
1,on,2,sm_20,true,cg,lu,false,false,3,-1,on,true,false,-1,39,1,false,on,8.347911172,true,11779894184283981727
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,8.06421442,true,3272551603729099740
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,8.054771127,true,3272551603729099740
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,8.055131452,true,3272551603729099740
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,39,1,false,off,8.341355781,true,15306514631058979899
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,39,1,false,off,8.328980642,true,15306514631058979899
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,39,1,false,off,8.330633092,true,15306514631058979899
