6255397430791123543 Qui Fev  8 13:19:47 -02 2018
10144606589520683771 Qui Fev  8 13:19:54 -02 2018
16844645761357879638 Qui Fev  8 13:19:58 -02 2018
4480615701543711457 Qui Fev  8 13:20:03 -02 2018
965654748042724845 Qui Fev  8 13:20:08 -02 2018
4985253171053371499 Qui Fev  8 13:20:13 -02 2018
1262471024641038660 Qui Fev  8 13:20:18 -02 2018
4034717897715990342 Qui Fev  8 13:20:22 -02 2018
3272551603729099740 Qui Fev  8 13:20:27 -02 2018
16177723886144975218 Qui Fev  8 13:20:32 -02 2018
11998574794769635484 Qui Fev  8 13:20:37 -02 2018
5748659537799952519 Qui Fev  8 13:20:42 -02 2018
6246407921894925828 Qui Fev  8 13:20:46 -02 2018
10792905355938503533 Qui Fev  8 13:20:51 -02 2018
7307369237444727502 Qui Fev  8 13:20:56 -02 2018
16482218504994401748 Qui Fev  8 13:21:01 -02 2018
13034243342634655858 Qui Fev  8 13:21:06 -02 2018
14723875976531155648 Qui Fev  8 13:21:11 -02 2018
15074698308700351608 Qui Fev  8 13:21:16 -02 2018
18183250591116101860 Qui Fev  8 13:21:21 -02 2018
