dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,16,-1,false,on,1.364536396,true,6255397430791123543
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,16,-1,false,on,1.291623022,true,6255397430791123543
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,16,-1,false,on,1.284299028,true,6255397430791123543
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,1.218631916,true,10144606589520683771
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,1.207237949,true,10144606589520683771
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,16,1,false,off,1.212144895,true,10144606589520683771
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,1.219567157,true,16844645761357879638
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,1.215879982,true,16844645761357879638
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,1.207357729,true,16844645761357879638
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,1.226040983,true,4480615701543711457
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,1.214046175,true,4480615701543711457
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,1.210516422,true,4480615701543711457
-1,off,2,sm_20,false,cg,lu,true,false,2,1,on,false,true,-1,16,1,false,off,1.296343222,true,965654748042724845
-1,off,2,sm_20,false,cg,lu,true,false,2,1,on,false,true,-1,16,1,false,off,1.290106998,true,965654748042724845
-1,off,2,sm_20,false,cg,lu,true,false,2,1,on,false,true,-1,16,1,false,off,1.294421415,true,965654748042724845
-1,on,3,sm_20,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,1.295741896,true,4985253171053371499
-1,on,3,sm_20,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,1.284343529,true,4985253171053371499
-1,on,3,sm_20,true,cs,lu,true,false,3,1,off,true,false,-1,16,-1,true,off,1.287314977,true,4985253171053371499
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,1.220936047,true,1262471024641038660
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,1.216639721,true,1262471024641038660
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,1.214397693,true,1262471024641038660
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,63,1,false,off,1.286497074,true,4034717897715990342
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,63,1,false,off,1.279807165,true,4034717897715990342
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,63,1,false,off,1.277225361,true,4034717897715990342
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,1.21731781,true,3272551603729099740
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,1.212713975,true,3272551603729099740
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,16,-1,true,on,1.210554567,true,3272551603729099740
-1,on,3,sm_52,true,cg,lu,false,false,2,-1,off,false,true,1,16,1,true,on,1.285992061,true,16177723886144975218
-1,on,3,sm_52,true,cg,lu,false,false,2,-1,off,false,true,1,16,1,true,on,1.285354555,true,16177723886144975218
-1,on,3,sm_52,true,cg,lu,false,false,2,-1,off,false,true,1,16,1,true,on,1.288457023,true,16177723886144975218
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,1.215643381,true,11998574794769635484
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,1.223526173,true,11998574794769635484
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,16,-1,false,on,1.223975949,true,11998574794769635484
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,1.220511217,true,5748659537799952519
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,1.218470121,true,5748659537799952519
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,1.220012556,true,5748659537799952519
-1,on,2,sm_20,false,cs,lu,false,true,2,1,off,true,true,1,63,-1,false,on,1.361858803,true,6246407921894925828
-1,on,2,sm_20,false,cs,lu,false,true,2,1,off,true,true,1,63,-1,false,on,1.290229241,true,6246407921894925828
-1,on,2,sm_20,false,cs,lu,false,true,2,1,off,true,true,1,63,-1,false,on,1.287722725,true,6246407921894925828
1,off,3,sm_20,true,cs,lu,false,true,2,-1,on,false,true,-1,63,-1,true,off,1.395032628,true,10792905355938503533
1,off,3,sm_20,true,cs,lu,false,true,2,-1,on,false,true,-1,63,-1,true,off,1.286678467,true,10792905355938503533
