"experiment_id","mean_baseline","mean_predicted","speedup","GPU","experiment_type"
"GAU",3.3386183027,3.32085870788889,1.00534789232945,"Quadro M1200","Screening"
"HWL",4.8293193256,0.6064802917,7.96286275364882,"Quadro M1200","Screening"
"NDL",0.101062006857143,0.078483808,1.28767970658537,"Quadro M1200","Screening"
"GAU",1.3153562073,1.3008168282,1.01117711485953,"Titan X","Screening"
"HWL",1.3633063311,1.3924850958,0.979045546133306,"Titan X","Screening"
"NDL",0.1863905639,0.1751884309,1.06394333771044,"Titan X","Screening"
"GAU",1.3153562073,1.25102732181549,1.05142084778065,"Titan X","OpenTuner"
"HWL",1.3633063311,1.12921462059021,1.20730488805347,"Titan X","OpenTuner"
"NDL",0.1863905639,0.186479163169861,0.99952488380817,"Titan X","OpenTuner"
"GAU",3.3386183027,3.34606807231903,0.997773574996677,"Quadro M1200","OpenTuner"
"HWL",4.8293193256,0.593084216117859,8.14272104088555,"Quadro M1200","OpenTuner"
"NDL",0.101062006857143,0.105947804450989,0.953884862275687,"Quadro M1200","OpenTuner"
