-Xptxas --opt-level=, --gpu-architecture=,response,complete,id
2,sm_50,3.34297971,true,16438501365034126973
2,sm_50,3.340443218,true,16438501365034126973
2,sm_50,3.338510987,true,16438501365034126973
2,sm_50,3.338511307,true,16438501365034126973
2,sm_50,3.339929234,true,16438501365034126973
2,sm_50,3.340020361,true,16438501365034126973
2,sm_50,3.340055436,true,16438501365034126973
2,sm_50,3.340086877,true,16438501365034126973
2,sm_50,3.339617381,true,16438501365034126973
2,sm_50,3.34028792,true,16438501365034126973
3,sm_50,3.341659346,true,3763198054957792119
3,sm_50,3.340273185,true,3763198054957792119
3,sm_50,3.337594505,true,3763198054957792119
3,sm_50,3.338991787,true,3763198054957792119
3,sm_50,3.337177527,true,3763198054957792119
3,sm_50,3.340191889,true,3763198054957792119
3,sm_50,3.338237027,true,3763198054957792119
3,sm_50,3.338053569,true,3763198054957792119
3,sm_50,3.338108891,true,3763198054957792119
3,sm_50,3.335895301,true,3763198054957792119
