dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
-1,on,3,sm_20,true,cs,lu,true,false,3,1,off,true,false,-1,1,-1,true,off,0.613081987,true,13233226052786000553
-1,on,3,sm_20,true,cs,lu,true,false,3,1,off,true,false,-1,1,-1,true,off,0.498342299,true,13233226052786000553
-1,on,3,sm_20,true,cs,lu,true,false,3,1,off,true,false,-1,1,-1,true,off,0.504344264,true,13233226052786000553
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,1,-1,false,on,0.673179987,true,9929596153975769230
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,1,-1,false,on,0.613163143,true,9929596153975769230
1,off,3,sm_52,false,cg,lu,true,true,2,-1,off,true,false,-1,1,-1,false,on,0.618729229,true,9929596153975769230
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.427131817,true,16844645761357879638
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.364716288,true,16844645761357879638
-1,off,2,sm_52,true,cs,ca,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.364608821,true,16844645761357879638
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,0.425829857,true,4480615701543711457
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,0.36286002,true,4480615701543711457
-1,off,2,sm_52,true,cg,ca,false,true,2,1,off,true,false,-1,63,1,true,off,0.364323403,true,4480615701543711457
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,1,-1,false,on,0.68271613,true,16527932197188185621
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,1,-1,false,on,0.455317871,true,16527932197188185621
-1,off,3,sm_20,true,cg,ca,false,true,3,1,on,false,false,1,1,-1,false,on,0.450593636,true,16527932197188185621
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,0.368563213,true,1262471024641038660
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,0.368211038,true,1262471024641038660
1,on,3,sm_52,true,cg,ca,true,false,2,1,on,true,true,1,63,-1,false,off,0.367891705,true,1262471024641038660
1,on,2,sm_20,true,cs,ca,true,true,2,-1,off,false,false,1,1,1,false,off,0.702952373,true,14367257998538132401
1,on,2,sm_20,true,cs,ca,true,true,2,-1,off,false,false,1,1,1,false,off,0.457103295,true,14367257998538132401
1,on,2,sm_20,true,cs,ca,true,true,2,-1,off,false,false,1,1,1,false,off,0.447344089,true,14367257998538132401
1,off,2,sm_52,true,cs,lu,true,true,3,1,on,true,true,1,1,1,true,on,0.679131621,true,251232373724674405
1,off,2,sm_52,true,cs,lu,true,true,3,1,on,true,true,1,1,1,true,on,0.62109037,true,251232373724674405
1,off,2,sm_52,true,cs,lu,true,true,3,1,on,true,true,1,1,1,true,on,0.620838047,true,251232373724674405
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,63,1,false,off,0.428166005,true,4034717897715990342
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,63,1,false,off,0.424603737,true,4034717897715990342
1,off,3,sm_52,false,cs,lu,false,false,3,1,off,false,false,1,63,1,false,off,0.421376209,true,4034717897715990342
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,0.657245604,true,5748659537799952519
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,0.376577759,true,5748659537799952519
1,on,3,sm_20,false,cg,ca,true,true,3,1,off,false,true,-1,63,1,true,on,0.37732802,true,5748659537799952519
-1,on,2,sm_20,false,cs,lu,false,true,2,1,off,true,true,1,63,-1,false,on,0.656146036,true,6246407921894925828
-1,on,2,sm_20,false,cs,lu,false,true,2,1,off,true,true,1,63,-1,false,on,0.438173349,true,6246407921894925828
-1,on,2,sm_20,false,cs,lu,false,true,2,1,off,true,true,1,63,-1,false,on,0.446311558,true,6246407921894925828
1,off,3,sm_20,true,cs,lu,false,true,2,-1,on,false,true,-1,63,-1,true,off,0.72949821,true,10792905355938503533
1,off,3,sm_20,true,cs,lu,false,true,2,-1,on,false,true,-1,63,-1,true,off,0.437994205,true,10792905355938503533
1,off,3,sm_20,true,cs,lu,false,true,2,-1,on,false,true,-1,63,-1,true,off,0.438625069,true,10792905355938503533
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,1,-1,true,on,0.560962249,true,16641252413976418552
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,1,-1,true,on,0.504568379,true,16641252413976418552
1,on,2,sm_52,false,cs,ca,false,false,2,1,on,false,false,-1,1,-1,true,on,0.50114933,true,16641252413976418552
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,0.65660153,true,15074698308700351608
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,0.383564799,true,15074698308700351608
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,0.374912783,true,15074698308700351608
-1,on,2,sm_52,false,cg,lu,true,true,3,-1,on,false,false,1,63,-1,true,off,0.491707219,true,13034243342634655858
-1,on,2,sm_52,false,cg,lu,true,true,3,-1,on,false,false,1,63,-1,true,off,0.425114191,true,13034243342634655858
-1,on,2,sm_52,false,cg,lu,true,true,3,-1,on,false,false,1,63,-1,true,off,0.432041186,true,13034243342634655858
1,on,2,sm_20,true,cg,lu,false,false,3,-1,on,true,false,-1,63,1,false,on,0.62765527,true,14723875976531155648
1,on,2,sm_20,true,cg,lu,false,false,3,-1,on,true,false,-1,63,1,false,on,0.44096968,true,14723875976531155648
1,on,2,sm_20,true,cg,lu,false,false,3,-1,on,true,false,-1,63,1,false,on,0.441772147,true,14723875976531155648
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,1,1,false,off,0.511680106,true,17817757550376942153
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,1,1,false,off,0.507185898,true,17817757550376942153
-1,on,3,sm_52,false,cs,ca,false,true,3,-1,on,true,true,-1,1,1,false,off,0.501886249,true,17817757550376942153
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,1,-1,true,off,0.759330489,true,17611802943898809602
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,1,-1,true,off,0.470502488,true,17611802943898809602
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,1,-1,true,off,0.456743459,true,17611802943898809602
-1,on,3,sm_52,true,cg,lu,false,false,2,-1,off,false,true,1,1,1,true,on,0.682138134,true,2037573253739874985
-1,on,3,sm_52,true,cg,lu,false,false,2,-1,off,false,true,1,1,1,true,on,0.621498846,true,2037573253739874985
-1,on,3,sm_52,true,cg,lu,false,false,2,-1,off,false,true,1,1,1,true,on,0.622974935,true,2037573253739874985
-1,off,2,sm_20,false,cg,lu,true,false,2,1,on,false,true,-1,1,1,false,off,0.791976936,true,727890193893619109
-1,off,2,sm_20,false,cg,lu,true,false,2,1,on,false,true,-1,1,1,false,off,0.50222618,true,727890193893619109
-1,off,2,sm_20,false,cg,lu,true,false,2,1,on,false,true,-1,1,1,false,off,0.501119393,true,727890193893619109
