-Xptxas --opt-level=, --gpu-architecture=,response,complete,id
2,sm_50,1.322319442,true,16438501365034126973
2,sm_50,1.349587643,true,16438501365034126973
2,sm_50,1.351804775,true,16438501365034126973
2,sm_50,1.342843574,true,16438501365034126973
2,sm_50,1.355993974,true,16438501365034126973
2,sm_50,1.36961774,true,16438501365034126973
2,sm_50,1.37179618,true,16438501365034126973
2,sm_50,1.374692438,true,16438501365034126973
2,sm_50,1.375598269,true,16438501365034126973
2,sm_50,1.368796796,true,16438501365034126973
3,sm_50,1.376744304,true,3763198054957792119
3,sm_50,1.377125031,true,3763198054957792119
3,sm_50,1.355124899,true,3763198054957792119
3,sm_50,1.357545114,true,3763198054957792119
3,sm_50,1.353331937,true,3763198054957792119
3,sm_50,1.3654769,true,3763198054957792119
3,sm_50,1.356910781,true,3763198054957792119
3,sm_50,1.365925839,true,3763198054957792119
3,sm_50,1.368863545,true,3763198054957792119
3,sm_50,1.356014961,true,3763198054957792119
