dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
1,off,3,sm_52,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,-1.0,false,2832385055763169752
-1,on,3,sm_50,true,cs,cg,true,false,3,1,off,true,false,-1,32,-1,true,off,-1.0,false,3901163045573017094
-1,on,3,sm_52,true,cg,cg,false,false,2,-1,off,false,true,1,32,1,true,on,-1.0,false,12412397174642830610
1,on,2,sm_50,true,cg,cg,false,false,3,-1,on,true,false,-1,63,1,false,on,-1.0,false,5823467396404825683
1,on,2,sm_52,false,cs,cs,false,false,2,1,on,false,false,-1,32,-1,true,on,-1.0,false,16290311797319121846
-1,off,3,sm_50,true,cg,cs,false,true,3,1,on,false,false,1,32,-1,false,on,-1.0,false,15868513645889074249
-1,on,2,sm_52,false,cg,cg,true,true,3,-1,on,false,false,1,63,-1,true,off,-1.0,false,17434697871689686891
-1,off,2,sm_52,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,-1.0,false,9325502683774011858
-1,on,3,sm_52,false,cs,cs,false,true,3,-1,on,true,true,-1,32,1,false,off,-1.0,false,1631913798719786414
1,off,3,sm_52,false,cg,cg,true,true,2,-1,off,true,false,-1,32,-1,false,on,-1.0,false,9835704098280028277
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,-1.0,false,16197407973239415933
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,-1.0,false,15704225219459321566
-1,off,2,sm_52,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,-1.0,false,7059235361083512139
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,-1.0,false,6717582340365005201
1,on,3,sm_50,false,cg,cs,true,true,3,1,off,false,true,-1,63,1,true,on,-1.0,false,14931626045717075256
1,off,2,sm_52,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,-1.0,false,665572663040650269
1,on,3,sm_52,true,cg,cs,true,false,2,1,on,true,true,1,63,-1,false,off,-1.0,false,8608920242023726437
-1,on,2,sm_50,false,cs,cg,false,true,2,1,off,true,true,1,63,-1,false,on,-1.0,false,13225313253456995371
-1,off,3,sm_50,false,cs,cs,true,false,2,-1,on,true,false,1,63,1,true,on,-1.0,false,9119677331951547427
1,off,3,sm_50,true,cs,cg,false,true,2,-1,on,false,true,-1,63,-1,true,off,-1.0,false,15321772803008190097
