-Xptxas --opt-level=, --gpu-architecture=,response,complete,id
2,sm_50,0.184356763,true,16438501365034126973
2,sm_50,0.191260878,true,16438501365034126973
2,sm_50,0.215368841,true,16438501365034126973
2,sm_50,0.183421128,true,16438501365034126973
2,sm_50,0.185204907,true,16438501365034126973
2,sm_50,0.193538509,true,16438501365034126973
2,sm_50,0.203083475,true,16438501365034126973
2,sm_50,0.167003027,true,16438501365034126973
2,sm_50,0.180362447,true,16438501365034126973
2,sm_50,0.207688971,true,16438501365034126973
3,sm_50,0.170487196,true,3763198054957792119
3,sm_50,0.189788707,true,3763198054957792119
3,sm_50,0.219503437,true,3763198054957792119
3,sm_50,0.181034952,true,3763198054957792119
3,sm_50,0.201609687,true,3763198054957792119
3,sm_50,0.191384163,true,3763198054957792119
3,sm_50,0.192824054,true,3763198054957792119
3,sm_50,0.16603813,true,3763198054957792119
3,sm_50,0.163795826,true,3763198054957792119
3,sm_50,0.187439487,true,3763198054957792119
