dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.220670874,true,3507203394137707685
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.173230123,true,3507203394137707685
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.176731062,true,3507203394137707685
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.153679131,true,3507203394137707685
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.195217352,true,3507203394137707685
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.186556033,true,3507203394137707685
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.223732334,true,3507203394137707685
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.16784021,true,3507203394137707685
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.152054043,true,3507203394137707685
-1,off,2,sm_50,true,cg,cs,false,true,2,1,off,true,false,-1,63,1,true,off,0.177770597,true,3507203394137707685
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.16203349,true,15704225219459321566
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.163436155,true,15704225219459321566
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.171711101,true,15704225219459321566
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.171943103,true,15704225219459321566
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.161007147,true,15704225219459321566
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.160328447,true,15704225219459321566
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.140075801,true,15704225219459321566
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.189743953,true,15704225219459321566
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.163918778,true,15704225219459321566
1,off,2,sm_50,false,cg,cs,false,false,3,-1,off,true,true,1,32,-1,true,off,0.171709336,true,15704225219459321566
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.169494082,true,16197407973239415933
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.160063605,true,16197407973239415933
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.156513642,true,16197407973239415933
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.169586051,true,16197407973239415933
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.129970238,true,16197407973239415933
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.181220196,true,16197407973239415933
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.171972192,true,16197407973239415933
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.159915765,true,16197407973239415933
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.153539143,true,16197407973239415933
-1,off,2,sm_50,false,cg,cg,true,false,2,1,on,false,true,-1,32,1,false,off,0.173993491,true,16197407973239415933
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.183176518,true,3067043098029798601
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.187933675,true,3067043098029798601
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.180982302,true,3067043098029798601
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.178540472,true,3067043098029798601
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.180994035,true,3067043098029798601
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.155883386,true,3067043098029798601
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.178426771,true,3067043098029798601
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.167745453,true,3067043098029798601
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.170121091,true,3067043098029798601
-1,off,2,sm_50,true,cs,cs,true,false,3,-1,off,false,true,-1,63,-1,false,on,0.162866513,true,3067043098029798601
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.175022519,true,6717582340365005201
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.161955181,true,6717582340365005201
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.177516108,true,6717582340365005201
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.16607977,true,6717582340365005201
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.153115286,true,6717582340365005201
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.172342058,true,6717582340365005201
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.174069734,true,6717582340365005201
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.161469643,true,6717582340365005201
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.1633996,true,6717582340365005201
1,on,2,sm_50,true,cs,cs,true,true,2,-1,off,false,false,1,32,1,false,off,0.194501348,true,6717582340365005201
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.153010943,true,7729090250465946324
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.158544731,true,7729090250465946324
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.181015336,true,7729090250465946324
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.150931188,true,7729090250465946324
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.165265577,true,7729090250465946324
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.18193928,true,7729090250465946324
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.189048713,true,7729090250465946324
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.166423424,true,7729090250465946324
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.177393218,true,7729090250465946324
1,off,2,sm_50,true,cs,cg,true,true,3,1,on,true,true,1,32,1,true,on,0.157873885,true,7729090250465946324
1,off,3,sm_50,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,0.153883645,true,16796481418468748460
1,off,3,sm_50,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,0.1905777,true,16796481418468748460
1,off,3,sm_50,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,0.173161366,true,16796481418468748460
1,off,3,sm_50,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,0.170517299,true,16796481418468748460
1,off,3,sm_50,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,0.165841525,true,16796481418468748460
1,off,3,sm_50,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,0.18177346,true,16796481418468748460
1,off,3,sm_50,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,0.165142553,true,16796481418468748460
1,off,3,sm_50,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,0.174831071,true,16796481418468748460
1,off,3,sm_50,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,0.147481558,true,16796481418468748460
