" --use_fast_math","-Xptxas --opt-level="," --gpu-architecture="," --ftz=","-Xptxas --force-store-cache=","-Xptxas --force-load-cache=","-Xptxas --allow-expensive-optimizations=","-Xptxas --fmad="," --optimize=","-Xnvlink --preserve-relocs"," --relocatable-device-code="," --prec-div=","-Xptxas --maxrregcount="," --prec-sqrt="," --no-align-double","response","complete","id"
"off","3","sm_30","true","cg","ca","false","true","3","on","false","false","16","false","on",-1.0,false,746717025182493905
"on","0","sm_52","false","cs","ca","false","false","0","on","false","false","16","true","on",-1.0,false,1706688202014191052
"on","3","sm_30","false","cg","ca","true","true","3","off","false","true","63","true","on",-1.0,false,2287373027067405219
"off","0","sm_52","true","cg","ca","false","true","0","off","true","false","63","true","off",-1.0,false,2813361563349629747
"on","0","sm_30","false","cs","lu","false","true","0","off","true","true","63","false","on",-1.0,false,4170659886037596399
"on","0","sm_52","false","cg","lu","true","true","3","on","false","false","63","true","off",-1.0,false,4523576877457075319
"on","3","sm_52","true","cg","lu","false","false","0","off","false","true","16","true","on",-1.0,false,5016183250778631877
"on","0","sm_30","true","cs","ca","true","true","0","off","false","false","16","false","off",-1.0,false,7121212009358467387
"on","3","sm_52","true","cg","ca","true","false","0","on","true","true","63","false","off",-1.0,false,7154437807209718508
"off","3","sm_52","false","cg","lu","true","true","0","off","true","false","16","false","on",-1.0,false,7739014849444727084
"off","0","sm_30","false","cg","lu","true","false","0","on","false","true","16","false","off",-1.0,false,7817383387454557676
"off","0","sm_30","false","cg","ca","false","false","3","off","true","true","16","true","off",-1.0,false,8639522130468992781
"off","0","sm_52","true","cs","ca","true","false","3","off","false","true","63","false","on",-1.0,false,9981162448756192379
"off","0","sm_52","true","cs","lu","true","true","3","on","true","true","16","true","on",-1.0,false,10345657656472750233
"on","0","sm_30","true","cg","lu","false","false","3","on","true","false","63","false","on",-1.0,false,12429015629485923178
"off","3","sm_52","false","cs","lu","false","false","3","off","false","false","63","false","off",-1.0,false,12962811197095046129
"on","3","sm_30","true","cs","lu","true","false","3","off","true","false","16","true","off",-1.0,false,14171053358204084666
"on","3","sm_52","false","cs","ca","false","true","3","on","true","true","16","false","off",-1.0,false,15990742754342333907
"off","3","sm_30","false","cs","ca","true","false","0","on","true","false","63","true","on",-1.0,false,16755122268755219968
